Date,Option,Gain_Pct,Time,Spot_RVOL,Spot_Loc,Decision,Reason
2025-12-05,EICHERMOT25DEC7200CE,50.892401835798054,09:15,,UpperHalf,REJECT,No Breakout (UpperHalf)
2025-12-05,MARUTI25DEC16200CE,52.207001522070016,09:16,0.17835430674780667,AboveUpper,REJECT,Low Vol (RVOL 0.2 < 2.5)
2025-12-05,HDFCLIFE25DEC790CE,50.43478260869566,09:19,0.9556635602489447,LowerHalf,REJECT,Low Vol (RVOL 1.0 < 2.5) + No Breakout (LowerHalf)
2025-12-05,BAJFINANCE25DEC1050CE,100.31746031746032,09:20,3.8562924097568794,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,KOTAKBANK25DEC2180CE,52.77108433734939,09:20,0.5022383263523796,LowerHalf,REJECT,Low Vol (RVOL 0.5 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HINDALCO25DEC840CE,109.3167701863354,09:24,1.0923622693905655,LowerHalf,REJECT,Low Vol (RVOL 1.1 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HINDALCO25DEC850CE,109.16666666666669,09:27,1.5086546479450405,LowerHalf,REJECT,Low Vol (RVOL 1.5 < 2.5) + No Breakout (LowerHalf)
2025-12-05,INFY25DEC1640CE,75.83892617449663,09:27,1.5413589335374704,LowerHalf,REJECT,Low Vol (RVOL 1.5 < 2.5) + No Breakout (LowerHalf)
2025-12-05,TCS25DEC3300CE,55.080213903743314,09:34,0.25270232210317356,UpperHalf,REJECT,Low Vol (RVOL 0.3 < 2.5) + No Breakout (UpperHalf)
2025-12-05,INFY25DEC1660CE,71.29186602870813,09:35,6.175940859862896,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,INFY25DEC1600CE,51.219512195121965,09:48,8.245451025937554,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,INFY25DEC1620CE,57.446808510638306,09:48,8.245451025937554,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2400PE,196.4102564102564,10:00,8.269588477144552,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2380PE,156.06469002695417,10:01,4.885209650293739,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2420PE,136.222005842259,10:01,4.885209650293739,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2440PE,128.74806800618236,10:01,4.885209650293739,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2460PE,200.10000000000002,10:01,4.885209650293739,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2300PE,156.72823218997362,10:02,13.49632341300552,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2360PE,156.66666666666666,10:02,13.49632341300552,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,BAJAJFINSV25DEC2060CE,91.05199516324062,10:04,0.8257337573465494,LowerHalf,REJECT,Low Vol (RVOL 0.8 < 2.5) + No Breakout (LowerHalf)
2025-12-05,BAJAJFINSV25DEC2080CE,101.22887864823352,10:04,0.8257337573465494,LowerHalf,REJECT,Low Vol (RVOL 0.8 < 2.5) + No Breakout (LowerHalf)
2025-12-05,BAJAJFINSV25DEC2120CE,126.88172043010752,10:04,0.8257337573465494,LowerHalf,REJECT,Low Vol (RVOL 0.8 < 2.5) + No Breakout (LowerHalf)
2025-12-05,BAJFINANCE25DEC1000CE,55.91882750845547,10:04,14.591471530287125,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,BAJAJFINSV25DEC2040CE,74.49355432780848,10:05,0.43118837053588915,LowerHalf,REJECT,Low Vol (RVOL 0.4 < 2.5) + No Breakout (LowerHalf)
2025-12-05,BAJAJFINSV25DEC2100CE,99.62335216572504,10:05,0.43118837053588915,LowerHalf,REJECT,Low Vol (RVOL 0.4 < 2.5) + No Breakout (LowerHalf)
2025-12-05,SBIN25DEC980CE,84.1726618705036,10:05,10.45218559554761,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HINDUNILVR25DEC2480PE,59.4896331738437,10:06,1.0752013680726353,UpperHalf,REJECT,Low Vol (RVOL 1.1 < 2.5) + No Breakout (UpperHalf)
2025-12-05,SBIN25DEC960CE,82.33082706766916,10:06,9.599105542804413,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,SBIN25DEC970CE,84.61538461538461,10:06,9.599105542804413,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,SBIN25DEC940CE,62.5514403292181,10:15,7.948217195212686,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,SBIN25DEC950CE,68.0,10:15,7.948217195212686,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HCLTECH25DEC1660CE,50.927246790299584,10:38,0.5755385033460868,LowerHalf,REJECT,Low Vol (RVOL 0.6 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HCLTECH25DEC1680CE,54.51055662188099,10:38,0.5755385033460868,LowerHalf,REJECT,Low Vol (RVOL 0.6 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HCLTECH25DEC1700CE,52.56410256410257,10:40,2.822267969816528,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,LTIM25DEC6300CE,50.05574136008918,10:47,2.174353148067803,AboveUpper,REJECT,Low Vol (RVOL 2.2 < 2.5)
2025-12-05,LTIM25DEC6350CE,53.77483443708609,10:47,2.174353148067803,AboveUpper,REJECT,Low Vol (RVOL 2.2 < 2.5)
2025-12-05,HINDALCO25DEC790CE,54.86862442040186,10:54,1.6615699697002038,LowerHalf,REJECT,Low Vol (RVOL 1.7 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HINDALCO25DEC800CE,63.358778625954194,10:54,1.6615699697002038,LowerHalf,REJECT,Low Vol (RVOL 1.7 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HINDALCO25DEC810CE,62.7906976744186,10:55,1.3199871952027826,LowerHalf,REJECT,Low Vol (RVOL 1.3 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HINDALCO25DEC820CE,69.78851963746223,10:55,1.3199871952027826,LowerHalf,REJECT,Low Vol (RVOL 1.3 < 2.5) + No Breakout (LowerHalf)
2025-12-05,HINDALCO25DEC830CE,69.23076923076923,10:56,3.3155816179987116,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,BPCL25DEC360CE,50.387596899224796,11:07,5.422872699454501,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-05,HDFCLIFE25DEC780CE,53.08641975308643,11:49,1.4772252150028515,LowerHalf,REJECT,Low Vol (RVOL 1.5 < 2.5) + No Breakout (LowerHalf)
2025-12-05,TATACONSUM25DEC1170CE,50.54545454545454,11:58,0.05493222736447648,LowerHalf,REJECT,Low Vol (RVOL 0.1 < 2.5) + No Breakout (LowerHalf)
2025-12-05,BRITANNIA25DEC5950CE,63.0263157894737,11:59,1.5000237947934612,UpperHalf,REJECT,Low Vol (RVOL 1.5 < 2.5) + No Breakout (UpperHalf)
2025-12-05,BRITANNIA25DEC5900CE,57.6530612244898,12:00,0.12794479388504668,UpperHalf,REJECT,Low Vol (RVOL 0.1 < 2.5) + No Breakout (UpperHalf)
2025-12-05,BRITANNIA25DEC5850CE,50.541082164328664,12:08,0.851533305652666,UpperHalf,REJECT,Low Vol (RVOL 0.9 < 2.5) + No Breakout (UpperHalf)
2025-12-05,ADANIENT25DEC2300CE,50.98314606741572,12:34,4.137471072254414,UpperHalf,REJECT,No Breakout (UpperHalf)
2025-12-08,ADANIPORTS25DEC1480PE,141.15384615384616,09:15,,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-08,BEL25DEC400PE,220.9090909090909,09:15,,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-08,HINDALCO25DEC850CE,88.33333333333334,09:15,,LowerHalf,REJECT,No Breakout (LowerHalf)
2025-12-08,CIPLA25DEC1470PE,117.64705882352942,09:16,0.2638222807559262,LowerHalf,REJECT,Low Vol (RVOL 0.3 < 2.5) + No Breakout (LowerHalf)
2025-12-08,HDFCLIFE25DEC790CE,67.88321167883213,09:17,1.205505173584669,LowerHalf,REJECT,Low Vol (RVOL 1.2 < 2.5) + No Breakout (LowerHalf)
2025-12-08,HDFCLIFE25DEC770CE,54.770318021201405,09:18,1.2765165443262072,LowerHalf,REJECT,Low Vol (RVOL 1.3 < 2.5) + No Breakout (LowerHalf)
2025-12-08,HDFCLIFE25DEC780CE,54.54545454545454,09:18,1.2765165443262072,LowerHalf,REJECT,Low Vol (RVOL 1.3 < 2.5) + No Breakout (LowerHalf)
2025-12-08,AXISBANK25DEC1250PE,87.17948717948718,09:19,1.1577970657142294,LowerHalf,REJECT,Low Vol (RVOL 1.2 < 2.5) + No Breakout (LowerHalf)
